Feature	Gain	Cover	Frequency
rf_019_015	0.0643224512824052	0.000956516658383916	0.000143753224179457
ctrx_quarter_normalizado	0.0419237041595768	0.00471791276601602	0.000943842597612546
rf_001_025	0.0213965714968305	0.0028617968390153	0.000158539270095058
ctrx_quarter	0.0182317176980252	0.00288378925573211	0.00109991752672167
rf_016_017	0.0139702980969607	0.00197076841695129	0.000127324284273233
rf_009_018	0.00900440876189744	0.00643782951336795	0.000165932293052858
cpayroll_trx	0.00893146184568068	0.0027401545403139	0.000242326863616798
mprestamos_personales_rank	0.00878702485325471	0.0139183070206114	0.00325375154842759
rf_018_021	0.0076848808065428	0.00255917515373479	0.000137181648216967
rf_012_013	0.0075343773391281	0.000145377717559829	9.20020634748522e-05
mcuentas_saldo_rank	0.00694008163568501	0.0103718906743971	0.00271981100147532
mpayroll_sobre_edad_rank	0.00673206912540664	0.00527391565423487	0.00226226502508699
rf_011_015	0.0061927460996364	0.000132413288493651	0.000112538238357632
rf_015_015	0.00533568154261512	0.00241372721791531	0.000143753224179457
rf_013_015	0.00504025052062565	0.000898419630750998	0.000183182679954393
ccomisiones_mantenimiento_tend6	0.0048941493547186	0.00457130672015108	0.00119520537817777
rf_002_015	0.00455027251009192	0.00297894516909878	0.000289149342349536
foto_mes	0.00453389536948228	0.0108637387797159	0.00168643068137385
rf_008_021	0.00439379933187008	0.00119662695700426	0.000168396634038792
mpasivos_margen_rank	0.00438551220538391	0.00261520343007338	0.00170614540926132
mpayroll_rank	0.00413686756230308	0.0036591924482263	0.00223022859226985
mprestamos_personales_rank_lag1	0.00409576979608818	0.0019082366583269	0.00264916655987856
mcaja_ahorro_rank	0.00368301398670183	0.00266666506334011	0.00166260871850983
cliente_edad	0.00342234339031686	0.00458787533978939	0.00374990553359554
ctrx_quarter_lag1	0.00336911771138389	0.000968889346906383	0.000893734330898564
mcuenta_corriente_rank_tend6	0.00331119542693168	0.0052302871712449	0.00315764224997618
cliente_edad_lag1	0.00317324062079984	0.00678400920331114	0.00342871975842887
mactivos_margen_rank	0.00311122914058923	0.00650008045674653	0.00238219628640242
mcuentas_saldo_rank_delta1	0.00306979418662853	0.00890799357386599	0.0030122461318061
mrentabilidad_annual_rank_lag1	0.00294589456700119	0.00323692719955389	0.0024610551979523
mcuenta_corriente_rank	0.00291140701841487	0.00303817068796392	0.00292024406833125
cprestamos_personales	0.00291070137414514	0.00562665110005716	0.000616906693478697
mrentabilidad_annual_rank	0.00290394740557106	0.00288599257757592	0.00259823684616926
internet_tend6	0.00280303778329755	0.00454075934990322	0.00208811826208102
rf_007_017	0.00269590778982038	0.00584847503235393	0.000262863038499578
mprestamos_personales_rank_tend6	0.00267843365065876	0.00223157359709778	0.00306974742147788
numero_de_cliente	0.00262907231705423	0.00325218903715253	0.00357165153561301
mtarjeta_visa_consumo_rank	0.00261122916729329	0.00158239145396977	0.00117713354428092
mrentabilidad_annual_rank_delta1	0.00258059616237096	0.00529463269930223	0.00282577766387046
mcuentas_saldo_rank_tend6	0.00248915460332331	0.00258512175425868	0.00288902908250942
mtransferencias_recibidas_rank	0.00241219249673908	0.0027234511189549	0.00226144357809168
Master_fechaalta	0.00231937884017038	0.00287232778638658	0.00241094693123832
mrentabilidad_annual_rank_tend6	0.00231148600671256	0.00281131002590885	0.00302456783673577
mcuenta_corriente_rank_lag1	0.00230683559769018	0.00266766141132073	0.00256784330734275
ctrx_quarter_tend6	0.00227222889213114	0.00205573736572978	0.00207990379212791
mcomisiones_rank_tend6	0.00225364831965313	0.0020006264346056	0.00216204849165903
chomebanking_transacciones	0.00224825781807395	0.00350232667663005	0.0019690084477609
mactivos_margen_rank_tend6	0.00221947106170679	0.00265301766778547	0.00275102598729714
mcaja_ahorro_rank_tend6	0.00220628652133718	0.00237096285296515	0.00287670737757975
cproductos_delta1	0.00219237444817062	0.00992950413780112	0.000694944158033259
mcomisiones_otras_rank_tend6	0.00218389732863844	0.00414340869561259	0.00225815779011044
mttarjeta_visa_debitos_automaticos_rank_tend6	0.00217897766374646	0.00158049778598212	0.00271323942551283
mcuenta_debitos_automaticos_rank	0.00216818197412839	0.00358719252304209	0.00265491668884574
cdescubierto_preacordado_delta1	0.00215208641127068	0.0137230995652564	0.000444402824463349
mplazo_fijo_dolares_rank	0.00213114784044963	0.00425877197928785	0.00280852727696893
mcomisiones_mantenimiento_rank_tend6	0.0021177878393027	0.00168582786283037	0.00261220144508955
mactivos_margen_rank_lag1	0.00210172564182401	0.00241848622434293	0.00198625883466243
rf_015_021	0.00206112586242876	0.000524394499840108	0.000150324800141946
ccallcenter_transacciones_tend6	0.00205698977976376	0.0033420139108948	0.0014769616975695
cdescubierto_preacordado_tend6	0.00202426398201351	0.00748984817733907	0.000491225303196086
cdescubierto_preacordado	0.00201543092759534	0.00213147174647152	0.000448510059439905
mcaja_ahorro_dolares_rank_tend6	0.00201538131419654	0.00195415888000613	0.00301471047279203
chomebanking_transacciones_tend6	0.00201481747372725	0.0045508986643226	0.00254730713245997
mcomisiones_mantenimiento_rank	0.00200603622900779	0.00333373702745126	0.00229594435189475
Master_Fvencimiento	0.00199105994056456	0.00205575476136448	0.00256045028438495
mcuenta_debitos_automaticos_rank_tend6	0.0019743399855596	0.00155718928258384	0.00278634820809552
mcomisiones_otras_rank	0.0019553897765838	0.00170051102105953	0.0014621756516539
Visa_fechaalta	0.00194964585770909	0.00132284656155028	0.00190657847611725
mpayroll_rank_tend6	0.00194949546462407	0.00160082727249044	0.00274691875232059
matm_rank_tend6	0.00194438151289453	0.0017360658201129	0.00283809936880013
rf_015_024	0.00191869314945851	0.00586130988994838	0.00013882454220759
vm_fultimo_cierre_tend6	0.00190605257226535	0.00133426142099752	0.00145396118170079
cliente_antiguedad	0.00190455937451002	0.00378072092399569	0.00255387870842246
mcaja_ahorro_dolares_rank	0.0019018963448174	0.00385153569210109	0.00270009627358785
mtransferencias_emitidas_rank_tend6	0.00188840540014923	0.00118331857405138	0.00285945699067822
ctrx_quarter_normalizado_lag1	0.00188571901765783	0.000804990884297029	0.000676050877141102
vm_mpagado_rank_tend6	0.00187228902615381	0.0009952141146583	0.00280195570100644
mcheques_depositados_rechazados_rank_tend6	0.00187058312623652	0.0010456508502981	0.00287752882457507
Master_mpagosdolares_rank_tend6	0.00186781635780529	0.00233951377045698	0.00274281151734403
tcallcenter_tend6	0.00185542025133102	0.00402673981465019	0.00130527927554947
mextraccion_autoservicio_rank_tend6	0.00184773384421356	0.000865861186429488	0.00261795157405673
mprestamos_prendarios_rank_tend6	0.00182415649692169	0.00142413238450282	0.00291531538635938
Visa_Fvencimiento	0.00181821198078997	0.00107139104381428	0.00230744460982911
mcaja_ahorro_adicional_rank_tend6	0.00181522041258412	0.00100773027382241	0.00273788283537216
Master_Fvencimiento_lag1	0.00181511582219078	0.00182583709102733	0.00250952057067566
rf_017_020	0.00179879304057508	0.00113995492659629	0.000110895344367009
