Feature	Gain	Cover	Frequency
mpagomiscuentas_rank	0.00181220330587492	0.00390753252000035	0.00239780377931334
mactivos_margen_rank_lag1	0.00180969616640057	0.0025946907162889	0.0019690084477609
mcomisiones_rank_tend6	0.00180885909532875	0.00199918866111142	0.00217108440860745
mpayroll_sobre_edad_rank_tend6	0.00179026629732064	0.0015932132300357	0.00283481358081888
mplazo_fijo_dolares_rank_tend6	0.00178945233895978	0.00098549711326457	0.00273952572936279
mttarjeta_master_debitos_automaticos_rank_tend6	0.00178274748487686	0.00154398794943485	0.00266970273476134
mpayroll2_rank_tend6	0.00177992325433058	0.00120785182651482	0.00264013064293013
mextraccion_autoservicio_rank_tend6	0.00177273309083027	0.00104883467200819	0.00272309678945656
mcomisiones_otras_rank_tend6	0.00176966515658285	0.0034919106857265	0.00215876270367778
mcomisiones_mantenimiento_rank_lag1	0.00176524164544539	0.00222253640771117	0.0023435882776228
vm_mpagado_rank_tend6	0.0017641007099462	0.00107348451637012	0.00281345595894079
mtarjeta_master_consumo_rank_tend6	0.00176164580559052	0.00135713943960973	0.00263355906696764
mttarjeta_visa_debitos_automaticos_rank_tend6	0.00175586904564366	0.00187394186738405	0.00273459704739092
mprestamos_prendarios_rank_tend6	0.00175412509387941	0.0014553025726968	0.00289806499945785
Master_msaldodolares_rank_tend6	0.00175204942137233	0.0018748624583263	0.00259248671720209
ctarjeta_visa_transacciones_tend6	0.00175027252939061	0.00355388883639217	0.00146628288663046
minversion2_rank_tend6	0.00174953446065064	0.00090313157050809	0.00269188180363474
mprestamos_hipotecarios_rank_lag1	0.00174873028563314	0.00154928214231138	0.00260727276311769
Visa_msaldodolares_rank_tend6	0.00172994855437448	0.00108972910468287	0.00251362780565221
minversion1_pesos_rank_tend6	0.00172682664912224	0.00123592152486913	0.00273213270640499
vm_mconsumosdolares_rank_tend6	0.00172333458854342	0.000918070721203521	0.00271159653152221
mautoservicio_rank_tend6	0.0017189015725864	0.00167217551175342	0.00275266888128777
matm_other_rank_tend6	0.00170602160418864	0.00106987985618877	0.00272638257743781
mtransferencias_recibidas_rank_tend6	0.0017057595825892	0.00115917642599007	0.00261713012706142
cdescubierto_preacordado	0.00170342703348437	0.00175913178131284	0.000406616262679034
Master_mpagospesos_rank_tend6	0.00170287668666656	0.0007965693097798	0.0025128063586569
Visa_fechaalta_lag1	0.00170246711171977	0.00146320888383411	0.0017850043208112
vm_mlimitecompra_rank_tend6	0.00170055627292429	0.000978565334622553	0.0024462691520367
mtarjeta_master_consumo_rank	0.00168996260694744	0.00187959202825853	0.00229594435189475
rf_017_020	0.00168577731708774	0.00128907948001488	0.000124859943287299
mprestamos_hipotecarios_rank_tend6	0.00167654661048873	0.00145481094140386	0.00283974226279075
mcheques_emitidos_rechazados_rank_tend6	0.00167647739199003	0.00128016946862931	0.0027255611304425
mcaja_ahorro_adicional_rank_lag1	0.0016669913386453	0.00133613669176348	0.00259002237621615
vm_mfinanciacion_limite_rank_tend6	0.0016669559717992	0.00153415942845312	0.00244380481105076
Master_msaldopesos_rank_tend6	0.00166357045694002	0.00102485051150665	0.00246023375095699
vm_status01	0.00166118502864377	0.00577416530694692	0.000217683453757463
mcheques_depositados_rechazados_rank_tend6	0.00165905011878067	0.000970615864461286	0.00261302289208487
vm_madelantodolares_rank_tend6	0.00164860009571895	0.00119648458370727	0.00269106035663943
vm_mpagosdolares_rank_tend6	0.00164840863027606	0.000881708246212086	0.00272638257743781
mcuenta_corriente_adicional_rank_tend6	0.00164126436771136	0.000915753286861137	0.0027403471763581
mrentabilidad_rank	0.00164117550336048	0.00146103194035335	0.00204786735931077
thomebanking_tend6	0.00163579616030769	0.00430404172885334	0.00186139889137514
mcomisiones_mantenimiento_rank_delta1	0.00163475897523247	0.00122810543430366	0.00225487200212919
mpagodeservicios_rank_tend6	0.00163185769641619	0.00168623896498563	0.00293256577326091
mcheques_emitidos_rank_tend6	0.0016303425382672	0.0011425419899901	0.00278059807912835
Master_mconsumosdolares_rank_tend6	0.00163021467307722	0.00128440324457641	0.00252184227560532
mcomisiones_otras_rank_lag1	0.00162795341234825	0.00119106290838223	0.0013373157083666
mcuenta_corriente_adicional_rank_lag1	0.00162645846364391	0.00134693017682997	0.00265080945386918
mpayroll2_rank_lag1	0.0016248024895721	0.00101231314748575	0.00261630868006611
mplazo_fijo_pesos_rank	0.0016231238878943	0.00207767570213672	0.00282084898189859
mcaja_ahorro_adicional_rank_tend6	0.00162207851225217	0.00114020596807075	0.0028282420048564
vm_fechaalta_lag1	0.00162173896035679	0.00136847653180644	0.00174475341804095
mforex_buy_rank_tend6	0.00161881964506138	0.00119404920641933	0.00274116862335341
mtarjeta_master_descuentos_rank_tend6	0.00161463432821147	0.00082394788559918	0.00268366733368163
Master_mfinanciacion_limite_rank_tend6	0.00161302642019868	0.00120603090884719	0.00258345080025366
mcheques_emitidos_rechazados_rank	0.00160913098247691	0.000909761235982441	0.00251773504062877
ctrx_quarter_normalizado_lag1	0.00160785784688723	0.000896875824641791	0.000674407983150479
Master_madelantopesos_rank_tend6	0.00160331119141162	0.00117150068329659	0.00268448878067694
vm_Fvencimiento_lag1	0.00160124112482647	0.00141565706331135	0.00212919061184658
Visa_fultimo_cierre_tend6	0.00159925459730016	0.000840078896011658	0.00142274619587896
vm_mpagospesos_rank_tend6	0.00159924592329088	0.00252675644687231	0.00228115830597915
mcajeros_propios_descuentos_rank_tend6	0.00159858936242932	0.0011589226752116	0.00260973710410362
vm_madelantopesos_rank	0.0015953128723437	0.00105015196173523	0.00269106035663943
mcaja_ahorro_rank_delta1	0.00159503049807074	0.000857843907649119	0.00218094177255118
mcaja_ahorro_dolares_rank_lag1	0.00159424616367262	0.00143060766141032	0.00237151747546338
mplazo_fijo_pesos_rank_lag1	0.00159213647139797	0.00151305946439954	0.00261630868006611
vm_mconsumosdolares_rank	0.00159160460609213	0.00126397630690974	0.00248076992583977
vm_madelantopesos_rank_lag1	0.00158966372867703	0.000940619099788337	0.00258427224724897
Visa_mlimitecompra_rank_tend6	0.00158901840208768	0.00101541470006303	0.0024980203127413
Visa_Fvencimiento	0.00158217243304244	0.0011885642234838	0.00227376528302135
mforex_sell_rank_lag1	0.00157761408899934	0.00116653852293788	0.00253991410950217
mtarjeta_visa_descuentos_rank_tend6	0.00157353330977538	0.000934163371251106	0.00272884691842374
mforex_sell_rank_tend6	0.00156490615934151	0.00110878041711658	0.00261466578607549
chomebanking_transacciones_delta1	0.00156418972976188	0.00317897460507311	0.00187289914930949
Master_mfinanciacion_limite_rank_delta1	0.00155717196134076	0.000876163858190004	0.00236823168748213
mtarjeta_master_descuentos_rank	0.00155514894448007	0.00138509605149271	0.00258509369424429
Master_mpagado_rank_tend6	0.00155394654874062	0.00107287447961026	0.00254730713245997
Visa_mpagado_rank_tend6	0.00155367117752165	0.00163011960123321	0.00256455751936151
mcheques_depositados_rank_tend6	0.00155341351587293	0.00163726587415367	0.00280277714800175
vm_madelantopesos_rank_tend6	0.00155060034582797	0.00110413222203527	0.00265820247682698
minversion1_dolares_rank_tend6	0.00154876779504533	0.00108661951579704	0.0026672383937754
mplazo_fijo_pesos_rank_tend6	0.00154755503424567	0.00117967557480332	0.0027329541534003
minversion1_dolares_rank	0.00154753559881755	0.0008399023862995	0.00270256061457378
Master_mlimitecompra_rank_tend6	0.00154611808817157	0.00104386678794771	0.00247912703184914
minversion1_pesos_rank	0.00154383631886272	0.00123206658281948	0.00271159653152221
ctrx_quarter_normalizado_tend6	0.00153977723984603	0.00248532248303685	0.00201665237348895
minversion2_rank	0.00153695893261218	0.000932865536328561	0.00261466578607549
minversion1_pesos_rank_lag1	0.00153633002354606	0.000923798672388427	0.00255141436743653
Master_mpagominimo_rank_tend6	0.0015316080851005	0.00098311593769793	0.00251855648762408
mcuenta_debitos_automaticos_rank_delta1	0.0015292331976125	0.000788926982705937	0.00230169448086193
Visa_mconsumosdolares_rank_tend6	0.00152324899139596	0.00100528646524318	0.0022187283343355
mforex_sell_rank	0.00152206149540151	0.000964765460747605	0.00249966320673192
mforex_buy_rank	0.00152177952255505	0.000907367919230228	0.00268531022767225
mprestamos_hipotecarios_rank	0.00152010968992178	0.001333428426876	0.00272884691842374
mcuenta_corriente_adicional_rank	0.00151995669625112	0.00134080032349502	0.00253580687452561
vm_mpagosdolares_rank_lag1	0.00151793763123108	0.00101815346245237	0.00237151747546338
mcajeros_propios_descuentos_rank_lag1	0.00151689675523822	0.000730894659536204	0.00252266372260064
ctrx_quarter_delta1	0.00151568591166811	0.00159368673627303	0.00163632241465987
mcaja_ahorro_dolares_rank_delta1	0.0015084431143324	0.000881921757632656	0.00234851695959467
mcajeros_propios_descuentos_rank	0.0015084421664805	0.000780610154958344	0.00252594951058188
mcheques_depositados_rechazados_rank	0.00150534692700063	0.00107108070616466	0.002571129095324
mcuenta_debitos_automaticos_rank_lag1	0.00150098526075554	0.00112795334375911	0.00237808905142587
mautoservicio_rank_delta1	0.00149924139917945	0.0010698442998596	0.00242984021213047
