Feature	Gain	Cover	Frequency
rf_019_015	0.0527976798638868	0.000780859196987004	0.000147860459156013
ctrx_quarter_normalizado	0.0393988277048781	0.00462223339426573	0.000956985749537525
rf_001_025	0.0194876478652929	0.00280867807649814	0.000156074929109124
ctrx_quarter	0.0182810281214179	0.00278898616954999	0.00111141778465603
rf_011_015	0.0176506032022894	0.000256522174816518	0.00011828836732481
rf_016_017	0.0147555248021133	0.00185739881687421	0.000124038496291988
cpayroll_trx	0.00977570708432419	0.00262185967842663	0.000270256061457378
rf_009_018	0.0089442446064327	0.00626528103482544	0.000165932293052858
mprestamos_personales_rank	0.00875603449675007	0.0133332634698695	0.00336300399880397
rf_018_021	0.00816090445166927	0.00243140478667651	0.000134717307231034
ctrx_quarter_normalizado_lag1	0.00743681429759198	0.00101658030350612	0.000727802037845706
mpayroll_sobre_edad_rank	0.00684474386327919	0.00538546779564412	0.00225158621414795
rf_002_015	0.00628053928430678	0.0033110702661563	0.000267791720471445
mcuentas_saldo_rank	0.00594569118472206	0.00938623084607215	0.00263109472598171
ccomisiones_mantenimiento_tend6	0.00549277500347068	0.00446576513228155	0.00117713354428092
rf_008_021	0.00504086137951326	0.00120437273053875	0.000138003095212278
rf_012_013	0.00475295583515596	0.000133805139561999	0.000115002579343565
rf_013_015	0.00470083109019694	0.000854172688301767	0.000161825058076303
mpayroll_rank	0.00408322082039195	0.00446858953725982	0.0021530125747106
rf_015_015	0.00407345988475822	0.00259968116870672	0.000165932293052858
cprestamos_personales	0.00395395236161544	0.0060159427946046	0.000622656822445875
mpasivos_margen_rank	0.00381668155694984	0.0028049141878968	0.0016166076867724
foto_mes	0.00367774318153491	0.00953697907890161	0.00174639631203157
mcaja_ahorro_rank	0.00366876823673704	0.00337571290638493	0.00171518132620975
mprestamos_personales_rank_lag1	0.00354527267781821	0.00239958545260683	0.00267298852274258
mactivos_margen_rank	0.00340416367091353	0.00635307926269916	0.00230087303386662
ctrx_quarter_lag1	0.00321470268054939	0.000982930267866595	0.000952057067565658
cliente_edad	0.00314384272331621	0.00403375960102584	0.00355275825472086
mrentabilidad_annual_rank_lag1	0.00301408005467294	0.0032143544799821	0.00261877302105204
internet_tend6	0.00300086121157167	0.00423386455030934	0.00219819215945272
mcuenta_corriente_rank	0.00294927607331407	0.00353199037800502	0.00293256577326091
cliente_edad_lag1	0.00293542027745956	0.00687803838859262	0.00338025438570551
mcuenta_corriente_rank_tend6	0.00293032103621583	0.00513097574190508	0.00308699780837942
mprestamos_personales_rank_tend6	0.00286221595486885	0.0021644966609639	0.00306728308049195
mcuentas_saldo_rank_delta1	0.00280697511868904	0.00929050162988105	0.00302867507171232
mrentabilidad_annual_rank_delta1	0.00272007436705021	0.00522579863914819	0.00282659911086577
mrentabilidad_annual_rank	0.00268926567729323	0.0027698220210219	0.00252430661659126
numero_de_cliente	0.00265212429002186	0.0038651002863683	0.00364229597720977
mcuenta_corriente_rank_lag1	0.00248758326095797	0.00291788788457606	0.00266066681781291
mcuentas_saldo_rank_tend6	0.00247239873829641	0.00268070776246401	0.00274856164631121
mtarjeta_visa_consumo_rank	0.00246193270500602	0.00168222423995537	0.00112127514859976
cdescubierto_preacordado_delta1	0.00244565959690037	0.0134330379997972	0.000435366907514926
mcuenta_debitos_automaticos_rank	0.00240122939520761	0.00353094455456949	0.00273541849438623
mrentabilidad_annual_rank_tend6	0.00239974041375877	0.00287482259039939	0.00313135594612622
ctrx_quarter_tend6	0.00238746652133369	0.00187487939073014	0.00217272730259807
mtransferencias_recibidas_rank	0.00237654909796838	0.00273457030128259	0.00236248155851496
mactivos_margen_rank_tend6	0.00234685373482822	0.00260417079704518	0.00276006190424557
Master_fechaalta	0.00234558886672744	0.00266365142606924	0.00240519680227114
mttarjeta_visa_debitos_automaticos_rank_tend6	0.00227083624770899	0.00176180312229777	0.00281263451194548
mcaja_ahorro_rank_tend6	0.00226791426730606	0.00216980027641428	0.00279045544307208
mcomisiones_rank_tend6	0.00225637542625746	0.00189274324237915	0.00215054823372467
rf_017_020	0.00218426193287008	0.00121420049090182	0.000112538238357632
mplazo_fijo_dolares_rank	0.00217347053486925	0.00408377615932402	0.00278716965509084
