envios	gan_sum	g1	g2	g3	g4	g5	gan_suavizada
137	1317000	1269000	1269000	1509000	1509000	1029000	
138	1314000	1266000	1266000	1506000	1506000	1026000	
139	1311000	1263000	1263000	1503000	1503000	1023000	
140	1356000	1260000	1380000	1500000	1500000	1140000	
141	1353000	1257000	1377000	1497000	1497000	1137000	
142	1350000	1254000	1374000	1494000	1494000	1134000	
143	1371000	1251000	1371000	1491000	1611000	1131000	
144	1392000	1248000	1488000	1488000	1608000	1128000	
145	1389000	1245000	1485000	1485000	1605000	1125000	
146	1386000	1242000	1482000	1482000	1602000	1122000	
147	1407000	1239000	1479000	1599000	1599000	1119000	
148	1428000	1236000	1596000	1596000	1596000	1116000	
149	1425000	1233000	1593000	1593000	1593000	1113000	
150	1422000	1230000	1590000	1590000	1590000	1110000	
151	1443000	1227000	1587000	1587000	1707000	1107000	
152	1464000	1344000	1584000	1584000	1704000	1104000	
153	1461000	1341000	1581000	1581000	1701000	1101000	
154	1482000	1338000	1578000	1698000	1698000	1098000	
155	1479000	1335000	1575000	1695000	1695000	1095000	
156	1476000	1332000	1572000	1692000	1692000	1092000	
157	1473000	1329000	1569000	1689000	1689000	1089000	
158	1470000	1326000	1566000	1686000	1686000	1086000	
159	1515000	1443000	1563000	1683000	1683000	1203000	
160	1560000	1440000	1680000	1680000	1800000	1200000	
161	1557000	1437000	1677000	1677000	1797000	1197000	
162	1626000	1434000	1794000	1794000	1794000	1314000	
163	1647000	1431000	1911000	1791000	1791000	1311000	
164	1692000	1428000	2028000	1788000	1788000	1428000	
165	1689000	1425000	2025000	1785000	1785000	1425000	
166	1686000	1422000	2022000	1782000	1782000	1422000	
167	1707000	1419000	2139000	1779000	1779000	1419000	
168	1728000	1536000	2136000	1776000	1776000	1416000	
169	1725000	1533000	2133000	1773000	1773000	1413000	
170	1722000	1530000	2130000	1770000	1770000	1410000	
171	1767000	1527000	2247000	1887000	1767000	1407000	
172	1788000	1524000	2364000	1884000	1764000	1404000	
173	1785000	1521000	2361000	1881000	1761000	1401000	
174	1830000	1518000	2358000	1878000	1878000	1518000	
175	1827000	1515000	2355000	1875000	1875000	1515000	
176	1848000	1632000	2352000	1872000	1872000	1512000	
177	1869000	1629000	2349000	1869000	1869000	1629000	
178	1866000	1626000	2346000	1866000	1866000	1626000	
179	1887000	1623000	2463000	1863000	1863000	1623000	
180	1908000	1620000	2580000	1860000	1860000	1620000	
181	1929000	1617000	2577000	1857000	1977000	1617000	
182	1950000	1614000	2574000	1854000	2094000	1614000	
183	1947000	1611000	2571000	1851000	2091000	1611000	
184	1968000	1608000	2568000	1848000	2088000	1728000	
185	1965000	1605000	2565000	1845000	2085000	1725000	
186	1962000	1602000	2562000	1842000	2082000	1722000	
187	2031000	1719000	2559000	1959000	2079000	1839000	
188	2028000	1716000	2556000	1956000	2076000	1836000	
189	2025000	1713000	2553000	1953000	2073000	1833000	
190	2022000	1710000	2550000	1950000	2070000	1830000	
191	2043000	1707000	2547000	1947000	2067000	1947000	
192	2040000	1704000	2544000	1944000	2064000	1944000	
193	2061000	1701000	2541000	1941000	2061000	2061000	
194	2106000	1818000	2538000	2058000	2058000	2058000	
195	2127000	1935000	2535000	2055000	2055000	2055000	
196	2124000	1932000	2532000	2052000	2052000	2052000	
197	2121000	1929000	2529000	2049000	2049000	2049000	
198	2118000	1926000	2526000	2046000	2046000	2046000	
199	2115000	1923000	2523000	2043000	2043000	2043000	
200	2160000	1920000	2640000	2040000	2040000	2160000	
201	2181000	1917000	2757000	2037000	2037000	2157000	
202	2178000	1914000	2754000	2034000	2034000	2154000	
203	2175000	1911000	2751000	2031000	2031000	2151000	
204	2196000	1908000	2868000	2028000	2028000	2148000	
205	2193000	1905000	2865000	2025000	2025000	2145000	
206	2190000	1902000	2862000	2022000	2022000	2142000	
207	2211000	2019000	2859000	2019000	2019000	2139000	
208	2208000	2016000	2856000	2016000	2016000	2136000	
209	2205000	2013000	2853000	2013000	2013000	2133000	
210	2202000	2010000	2850000	2010000	2010000	2130000	
211	2199000	2007000	2847000	2007000	2007000	2127000	
212	2196000	2004000	2844000	2004000	2004000	2124000	
213	2193000	2001000	2841000	2001000	2001000	2121000	
214	2190000	1998000	2838000	1998000	1998000	2118000	
215	2211000	1995000	2835000	1995000	1995000	2235000	
216	2208000	1992000	2832000	1992000	1992000	2232000	
217	2277000	2109000	2949000	1989000	2109000	2229000	
218	2274000	2106000	2946000	1986000	2106000	2226000	
219	2271000	2103000	2943000	1983000	2103000	2223000	
220	2316000	2100000	2940000	2100000	2220000	2220000	
221	2361000	2217000	2937000	2097000	2337000	2217000	
222	2382000	2214000	2934000	2214000	2334000	2214000	
223	2379000	2211000	2931000	2211000	2331000	2211000	
224	2400000	2208000	2928000	2208000	2328000	2328000	
225	2397000	2205000	2925000	2205000	2325000	2325000	
226	2442000	2202000	2922000	2322000	2442000	2322000	
227	2463000	2319000	2919000	2319000	2439000	2319000	
228	2484000	2316000	2916000	2316000	2436000	2436000	
229	2481000	2313000	2913000	2313000	2433000	2433000	
230	2478000	2310000	2910000	2310000	2430000	2430000	
231	2475000	2307000	2907000	2307000	2427000	2427000	
232	2472000	2304000	2904000	2304000	2424000	2424000	
233	2493000	2301000	2901000	2301000	2541000	2421000	
234	2514000	2418000	2898000	2298000	2538000	2418000	
235	2511000	2415000	2895000	2295000	2535000	2415000	
236	2508000	2412000	2892000	2292000	2532000	2412000	
237	2553000	2529000	2889000	2409000	2529000	2409000	
238	2550000	2526000	2886000	2406000	2526000	2406000	
239	2571000	2643000	2883000	2403000	2523000	2403000	
240	2568000	2640000	2880000	2400000	2520000	2400000	
241	2589000	2637000	2877000	2397000	2637000	2397000	
242	2610000	2634000	2994000	2394000	2634000	2394000	
243	2679000	2751000	2991000	2511000	2631000	2511000	
244	2676000	2748000	2988000	2508000	2628000	2508000	
245	2721000	2745000	3105000	2505000	2625000	2625000	
246	2742000	2742000	3102000	2502000	2742000	2622000	
247	2739000	2739000	3099000	2499000	2739000	2619000	
248	2760000	2736000	3216000	2496000	2736000	2616000	
249	2757000	2733000	3213000	2493000	2733000	2613000	
250	2826000	2730000	3330000	2610000	2850000	2610000	
251	2823000	2727000	3327000	2607000	2847000	2607000	
252	2820000	2724000	3324000	2604000	2844000	2604000	
253	2865000	2721000	3321000	2601000	2961000	2721000	
254	2862000	2718000	3318000	2598000	2958000	2718000	
255	2859000	2715000	3315000	2595000	2955000	2715000	
256	2928000	2832000	3312000	2592000	3072000	2832000	
257	2925000	2829000	3309000	2589000	3069000	2829000	
258	2946000	2826000	3306000	2586000	3066000	2946000	
259	2967000	2823000	3303000	2703000	3063000	2943000	
260	2988000	2940000	3300000	2700000	3060000	2940000	
261	2985000	2937000	3297000	2697000	3057000	2937000	
262	3006000	2934000	3294000	2814000	3054000	2934000	
263	3051000	2931000	3411000	2811000	3171000	2931000	
264	3048000	2928000	3408000	2808000	3168000	2928000	
265	3045000	2925000	3405000	2805000	3165000	2925000	
266	3042000	2922000	3402000	2802000	3162000	2922000	
267	3039000	2919000	3399000	2799000	3159000	2919000	
268	3036000	2916000	3396000	2796000	3156000	2916000	
269	3033000	2913000	3393000	2793000	3153000	2913000	
270	3054000	2910000	3510000	2790000	3150000	2910000	
271	3075000	2907000	3507000	2787000	3147000	3027000	
272	3096000	3024000	3504000	2784000	3144000	3024000	
273	3117000	3021000	3501000	2781000	3141000	3141000	
274	3114000	3018000	3498000	2778000	3138000	3138000	
275	3135000	3015000	3615000	2775000	3135000	3135000	
276	3132000	3012000	3612000	2772000	3132000	3132000	
277	3129000	3009000	3609000	2769000	3129000	3129000	
278	3126000	3006000	3606000	2766000	3126000	3126000	
279	3123000	3003000	3603000	2763000	3123000	3123000	
280	3144000	3e+06	3600000	2880000	3120000	3120000	
281	3165000	2997000	3597000	2997000	3117000	3117000	
282	3162000	2994000	3594000	2994000	3114000	3114000	
283	3183000	3111000	3591000	2991000	3111000	3111000	
284	3228000	3228000	3588000	2988000	3228000	3108000	
285	3249000	3225000	3585000	2985000	3345000	3105000	
286	3246000	3222000	3582000	2982000	3342000	3102000	
287	3243000	3219000	3579000	2979000	3339000	3099000	
288	3240000	3216000	3576000	2976000	3336000	3096000	
289	3237000	3213000	3573000	2973000	3333000	3093000	
290	3258000	3210000	3690000	2970000	3330000	3090000	
291	3279000	3207000	3687000	3087000	3327000	3087000	
292	3324000	3324000	3684000	3084000	3324000	3204000	
293	3345000	3321000	3681000	3081000	3321000	3321000	
294	3342000	3318000	3678000	3078000	3318000	3318000	
295	3387000	3315000	3795000	3075000	3435000	3315000	
296	3408000	3312000	3792000	3072000	3552000	3312000	
297	3405000	3309000	3789000	3069000	3549000	3309000	
298	3402000	3306000	3786000	3066000	3546000	3306000	
299	3399000	3303000	3783000	3063000	3543000	3303000	
300	3396000	3300000	3780000	3060000	3540000	3300000	
301	3393000	3297000	3777000	3057000	3537000	3297000	
302	3414000	3294000	3774000	3174000	3534000	3294000	
303	3411000	3291000	3771000	3171000	3531000	3291000	
304	3432000	3288000	3768000	3288000	3528000	3288000	
305	3453000	3285000	3765000	3405000	3525000	3285000	
306	3474000	3402000	3762000	3402000	3522000	3282000	
307	3471000	3399000	3759000	3399000	3519000	3279000	
308	3468000	3396000	3756000	3396000	3516000	3276000	
309	3489000	3393000	3753000	3393000	3633000	3273000	
310	3534000	3510000	3750000	3390000	3630000	3390000	
311	3531000	3507000	3747000	3387000	3627000	3387000	
312	3552000	3624000	3744000	3384000	3624000	3384000	
313	3549000	3621000	3741000	3381000	3621000	3381000	
314	3594000	3618000	3738000	3378000	3738000	3498000	
315	3639000	3735000	3735000	3495000	3735000	3495000	
316	3660000	3732000	3732000	3492000	3852000	3492000	
317	3681000	3849000	3729000	3489000	3849000	3489000	
318	3678000	3846000	3726000	3486000	3846000	3486000	
319	3699000	3843000	3723000	3483000	3843000	3603000	
320	3696000	3840000	3720000	3480000	3840000	3600000	
321	3717000	3837000	3717000	3597000	3837000	3597000	
322	3762000	3834000	3714000	3594000	3954000	3714000	
323	3759000	3831000	3711000	3591000	3951000	3711000	
324	3756000	3828000	3708000	3588000	3948000	3708000	
325	3753000	3825000	3705000	3585000	3945000	3705000	
326	3774000	3822000	3702000	3582000	3942000	3822000	
327	3795000	3939000	3699000	3579000	3939000	3819000	
328	3792000	3936000	3696000	3576000	3936000	3816000	
329	3813000	3933000	3693000	3693000	3933000	3813000	
330	3810000	3930000	3690000	3690000	3930000	3810000	
331	3831000	4047000	3687000	3687000	3927000	3807000	
332	3876000	4044000	3804000	3804000	3924000	3804000	
333	3873000	4041000	3801000	3801000	3921000	3801000	
334	3870000	4038000	3798000	3798000	3918000	3798000	
335	3867000	4035000	3795000	3795000	3915000	3795000	
336	3864000	4032000	3792000	3792000	3912000	3792000	
337	3861000	4029000	3789000	3789000	3909000	3789000	
338	3882000	4146000	3786000	3786000	3906000	3786000	
339	3879000	4143000	3783000	3783000	3903000	3783000	
340	3948000	4140000	3900000	3900000	3900000	3900000	
341	3945000	4137000	3897000	3897000	3897000	3897000	
342	3966000	4134000	4014000	3894000	3894000	3894000	
343	3963000	4131000	4011000	3891000	3891000	3891000	
344	3984000	4128000	4008000	4008000	3888000	3888000	
345	4005000	4125000	4005000	4005000	4005000	3885000	
346	4050000	4122000	4122000	4122000	4002000	3882000	
347	4047000	4119000	4119000	4119000	3999000	3879000	
348	4068000	4116000	4116000	4236000	3996000	3876000	
349	4065000	4113000	4113000	4233000	3993000	3873000	
350	4062000	4110000	4110000	4230000	3990000	3870000	
351	4083000	4227000	4107000	4227000	3987000	3867000	
352	4080000	4224000	4104000	4224000	3984000	3864000	
353	4101000	4221000	4101000	4341000	3981000	3861000	
354	4098000	4218000	4098000	4338000	3978000	3858000	
355	4143000	4215000	4095000	4455000	4095000	3855000	
356	4188000	4212000	4092000	4572000	4092000	3972000	
357	4209000	4209000	4089000	4569000	4089000	4089000	
358	4206000	4206000	4086000	4566000	4086000	4086000	
359	4227000	4203000	4083000	4683000	4083000	4083000	
360	4224000	4200000	4080000	4680000	4080000	4080000	
361	4245000	4197000	4077000	4677000	4077000	4197000	
362	4266000	4194000	4074000	4794000	4074000	4194000	
363	4287000	4191000	4191000	4791000	4071000	4191000	
364	4308000	4188000	4308000	4788000	4068000	4188000	
365	4305000	4185000	4305000	4785000	4065000	4185000	
366	4302000	4182000	4302000	4782000	4062000	4182000	
367	4299000	4179000	4299000	4779000	4059000	4179000	
368	4320000	4176000	4296000	4776000	4056000	4296000	
369	4341000	4293000	4293000	4773000	4053000	4293000	
370	4338000	4290000	4290000	4770000	4050000	4290000	
371	4335000	4287000	4287000	4767000	4047000	4287000	
372	4332000	4284000	4284000	4764000	4044000	4284000	
373	4353000	4281000	4281000	4761000	4041000	4401000	
374	4350000	4278000	4278000	4758000	4038000	4398000	
375	4371000	4275000	4395000	4755000	4035000	4395000	
376	4392000	4272000	4392000	4752000	4032000	4512000	
377	4437000	4269000	4389000	4749000	4149000	4629000	
378	4458000	4266000	4386000	4746000	4146000	4746000	
379	4503000	4383000	4383000	4743000	4263000	4743000	
380	4548000	4500000	4380000	4740000	4260000	4860000	
381	4545000	4497000	4377000	4737000	4257000	4857000	
382	4566000	4494000	4374000	4734000	4374000	4854000	
383	4563000	4491000	4371000	4731000	4371000	4851000	
384	4560000	4488000	4368000	4728000	4368000	4848000	
385	4557000	4485000	4365000	4725000	4365000	4845000	
386	4554000	4482000	4362000	4722000	4362000	4842000	
387	4575000	4479000	4359000	4719000	4479000	4839000	
388	4572000	4476000	4356000	4716000	4476000	4836000	
389	4569000	4473000	4353000	4713000	4473000	4833000	
390	4566000	4470000	4350000	4710000	4470000	4830000	
391	4563000	4467000	4347000	4707000	4467000	4827000	
392	4584000	4464000	4464000	4704000	4464000	4824000	
393	4605000	4581000	4461000	4701000	4461000	4821000	
394	4602000	4578000	4458000	4698000	4458000	4818000	
395	4599000	4575000	4455000	4695000	4455000	4815000	
396	4620000	4572000	4572000	4692000	4452000	4812000	
397	4617000	4569000	4569000	4689000	4449000	4809000	
398	4662000	4686000	4566000	4686000	4446000	4926000	
399	4659000	4683000	4563000	4683000	4443000	4923000	
400	4680000	4680000	4560000	4680000	4440000	5040000	
401	4677000	4677000	4557000	4677000	4437000	5037000	
402	4674000	4674000	4554000	4674000	4434000	5034000	
403	4695000	4671000	4551000	4671000	4551000	5031000	
404	4740000	4788000	4548000	4668000	4668000	5028000	
405	4761000	4785000	4545000	4665000	4665000	5145000	
406	4782000	4782000	4542000	4662000	4782000	5142000	
407	4779000	4779000	4539000	4659000	4779000	5139000	
408	4848000	4776000	4536000	4776000	4896000	5256000	
409	4869000	4773000	4533000	4773000	5013000	5253000	
410	4890000	4770000	4530000	4770000	5010000	5370000	
411	4887000	4767000	4527000	4767000	5007000	5367000	
412	4908000	4764000	4524000	4884000	5004000	5364000	
413	4905000	4761000	4521000	4881000	5001000	5361000	
414	4902000	4758000	4518000	4878000	4998000	5358000	
415	4899000	4755000	4515000	4875000	4995000	5355000	
416	4920000	4752000	4512000	4872000	5112000	5352000	
417	4917000	4749000	4509000	4869000	5109000	5349000	
