Feature	Gain	Cover	Frequency
rf_019_015	0.0533696754586273	0.000805296561247749	0.000127324284273233
ctrx_quarter_normalizado	0.0442332323576122	0.00495607753369081	0.000928235104701634
rf_001_025	0.0213952792923968	0.00275469715836054	0.000149503353146635
rf_011_015	0.0163758321363625	0.000188000555512732	0.000127324284273233
rf_016_017	0.0152694403220921	0.00169939076971411	0.000112538238357632
ctrx_quarter	0.0136122032234591	0.00254780128590004	0.00103338032010147
rf_009_018	0.00906864095546686	0.00632045173264173	0.000165932293052858
cpayroll_trx	0.00886135077166521	0.00263338213940423	0.000241505416621487
rf_012_013	0.00875154584686358	0.000107116122496518	9.85736394373417e-05
mprestamos_personales_rank	0.0083645442922089	0.0132639285249294	0.00328825232223066
mcuentas_saldo_rank	0.00795451437206506	0.00981135780804605	0.00270666784955034
rf_018_021	0.00739286759807444	0.0028089627146805	0.000149503353146635
mpayroll_sobre_edad_rank	0.0066792227764157	0.00472167868884745	0.00227212238903073
ccomisiones_mantenimiento_tend6	0.00648512476920443	0.004455421202336	0.00119191959019652
rf_015_015	0.00642126954722728	0.00258422442952448	0.000156074929109124
rf_008_021	0.00504764946817582	0.0011108233883339	0.000136360201221656
mprestamos_personales_rank_lag1	0.00468445183113075	0.00208183012614622	0.0025933081641974
ctrx_quarter_normalizado_lag1	0.00462573602720188	0.000860207333751126	0.000679336665122346
mpayroll_rank	0.00450335986080658	0.00448325241838865	0.00222940714527454
foto_mes	0.00436780776581165	0.00997435034209691	0.0017045025152707
mpasivos_margen_rank	0.00433033871826097	0.00286022519795856	0.0017192885611863
mcaja_ahorro_rank	0.00392889262524045	0.00327275675861544	0.00169135936334572
mactivos_margen_rank	0.00334032739035809	0.00580043928957288	0.00230087303386662
mrentabilidad_annual_rank_lag1	0.00328775656686775	0.00314856972256036	0.00255634304940839
cliente_edad_lag1	0.00317037863532742	0.00694574286973184	0.0032989311331697
mcuenta_corriente_rank	0.00314736292335455	0.00309602738800084	0.00276416913922212
mcuentas_saldo_rank_delta1	0.00302626520246963	0.0097155819925379	0.00305578282255759
mcuenta_corriente_rank_tend6	0.0029978666802407	0.00483035874176501	0.00322828669157294
ctrx_quarter_lag1	0.00294452599292847	0.00087451891301942	0.000906877482823543
cliente_edad	0.00289827678451743	0.00461379854298081	0.00362997427228011
mprestamos_personales_rank_tend6	0.00279301426596361	0.00245753350038116	0.00314121331006995
numero_de_cliente	0.00255087189876123	0.00358291108536997	0.00348786394209127
mcuenta_corriente_rank_lag1	0.00247247988089532	0.00271280103459207	0.00262370170302391
mtarjeta_visa_consumo_rank	0.00246837468424706	0.00170200918579961	0.00112538238357632
cprestamos_personales	0.00246590502217295	0.0058120736242213	0.00060540643554434
rf_007_017	0.00244711169078492	0.00562498985649859	0.000260398697513644
internet_tend6	0.00244050142677026	0.0042812086348839	0.00222283556931205
Visa_fechaalta	0.00239471069799502	0.00125651446767831	0.00187125625531887
mtransferencias_recibidas_rank	0.00237674842209463	0.00267005307594617	0.00232305210274002
mrentabilidad_annual_rank	0.00229503290262375	0.00275479120925786	0.00230908750381973
rf_002_015	0.00229275184686214	0.00332057613371474	0.000296542365307336
chomebanking_transacciones	0.00228830226603761	0.00328591338941425	0.00193040043898127
mrentabilidad_annual_rank_tend6	0.00228479296959199	0.00242262813869406	0.00305742571654821
mcuenta_debitos_automaticos_rank	0.00227787979694319	0.00364966876307631	0.00264670221889262
cdescubierto_preacordado_tend6	0.0022470757723314	0.00760847112320523	0.000515868713055421
ctrx_quarter_tend6	0.00221587851284334	0.00207506841005939	0.00216204849165903
mactivos_margen_rank_lag1	0.00217216817751747	0.0025172605931713	0.00195340095484999
mcuentas_saldo_rank_tend6	0.00216393680430232	0.00264099911196947	0.00282413476987984
mactivos_margen_rank_tend6	0.00216194726371248	0.00277038491129062	0.00288163605955162
mrentabilidad_annual_rank_delta1	0.00213560833058597	0.00540851450766791	0.00271898955448001
mpayroll_rank_tend6	0.00213312493356091	0.00152955721894211	0.0028652071196454
mcaja_ahorro_rank_tend6	0.00212841575815969	0.00226327009245282	0.00284138515678137
cdescubierto_preacordado_delta1	0.00212500042341471	0.0137365795698762	0.000450152953430527
mcaja_ahorro_dolares_rank	0.00211433007652848	0.00416439402755985	0.00296953088804992
Master_fechaalta	0.00209205952248925	0.00292417497764318	0.00262698749100516
mpasivos_margen_rank_tend6	0.00208851223797083	0.00110823090740871	0.00233701670166031
mcomisiones_mantenimiento_rank	0.00208030679739331	0.00322060149626007	0.0023657673464962
Master_fechaalta_lag1	0.00206880495367949	0.00284595545423157	0.00245530506898512
chomebanking_transacciones_tend6	0.00205184119830117	0.00415821637013316	0.00247748413785852
mcaja_ahorro_dolares_rank_tend6	0.0020346939676458	0.00171864040925672	0.00292599419729843
cproductos_delta1	0.00202046928649421	0.00998689329869774	0.00069576560502857
mplazo_fijo_dolares_rank	0.002008739563353	0.00383788648961548	0.00279291978405801
mcuentas_saldo_rank_lag1	0.00199560660401654	0.00267265032986095	0.00183182679954393
mprestamos_personales_rank_delta1	0.00198216115031834	0.00159079964966889	0.00241176837823363
mcuenta_debitos_automaticos_rank_tend6	0.00197213123500384	0.0017908434642757	0.00267956009870507
mcomisiones_mantenimiento_rank_tend6	0.00196633302660803	0.00160933371456102	0.00247337690288197
mtransferencias_emitidas_rank_tend6	0.00196483986118593	0.00111860005477983	0.00283399213382357
mttarjeta_visa_debitos_automaticos_rank_tend6	0.00194571573258535	0.00172485648062373	0.00281509885293142
mtarjeta_master_consumo_rank_tend6	0.00191827151456244	0.00137733105425764	0.00273870428236748
Master_Fvencimiento_lag1	0.00188906405291294	0.00177078946097503	0.0025637360723662
rf_015_024	0.00188756075493806	0.00573886004679741	0.000140467436198212
tcallcenter_tend6	0.00186201676939193	0.00371916202513676	0.00129131467662918
mplazo_fijo_dolares_rank_tend6	0.00184871392976547	0.0010948910340637	0.00275349032828308
minversion1_pesos_rank_tend6	0.00184712186817405	0.00121014582263846	0.00283399213382357
Visa_Fvencimiento	0.00184204795138971	0.0014176855886467	0.00241423271921956
cliente_antiguedad_lag1	0.0018378722260675	0.00259047871356119	0.00240355390828051
Master_mpagosdolares_rank_tend6	0.00183687255369808	0.00195911489606247	0.00277402650316586
Master_Fvencimiento	0.00183569906539381	0.00194333283345852	0.00242819731813985
matm_rank_tend6	0.0018267836994965	0.00170184747921247	0.00281017017095955
mcomisiones_otras_rank	0.00181931663098089	0.00173252057927296	0.00158374980695996
vm_mpagado_rank_tend6	0.00181771089638053	0.00114977670524229	0.00277977663213304
mpagomiscuentas_rank_tend6	0.00181383674113021	0.00255573281573117	0.00287752882457507
Visa_cconsumos_tend6	0.00179874759473451	0.00119373021754854	0.00190247124114069
ccallcenter_transacciones_tend6	0.00179744101521615	0.00401143411636092	0.00152378417630224
mcuenta_corriente_rank_delta1	0.00178211962221522	0.00112068967537384	0.00257441488330524
rf_015_021	0.00178199439561742	0.000522338499165367	0.000145396118170079
Visa_fechaalta_lag1	0.00177645524269171	0.00136914299061241	0.00182607667057675
mprestamos_prendarios_rank_tend6	0.00177503175169796	0.00150707313137418	0.00291367249236876
thomebanking_tend6	0.00177463768581583	0.00416421248143765	0.00193122188597659
mrentabilidad_rank_tend6	0.00176578231191536	0.00334671866029911	0.00261959446804735
cliente_antiguedad	0.00175961420485862	0.00327277800704501	0.0023657673464962
ctarjeta_visa_debitos_automaticos_tend6	0.00175532363606082	0.00310544216747714	0.00138495963409465
mextraccion_autoservicio_rank_tend6	0.00174864938900107	0.0010036023463252	0.00270256061457378
matm_other_rank_tend6	0.00174809413972485	0.00111827715915863	0.00263848774893951
ctarjeta_visa_transacciones_tend6	0.00173625495672903	0.00332500638815058	0.00143342500681801
mcheques_emitidos_rank_tend6	0.00173366279712326	0.00122253483594847	0.0027255611304425
Master_madelantopesos_rank_tend6	0.00172931269469397	0.00144974469587766	0.00261220144508955
cproductos_tend6	0.0017287628973865	0.00648695419672564	0.00105473794197956
mcheques_emitidos_rechazados_rank_tend6	0.00172416169503647	0.00123571987466124	0.00272638257743781
vm_Fvencimiento_lag1	0.00171311746030087	0.00159093447224839	0.00211111877794973
mcomisiones_otras_rank_tend6	0.00171301731684228	0.00416515278914024	0.00214808389273874
vm_mconsumosdolares_rank_tend6	0.00171062127039149	0.000892713089297286	0.00281017017095955
vm_mfinanciacion_limite_rank_tend6	0.0017084291848487	0.00134585364794498	0.00243394744710703
Visa_msaldodolares_rank_tend6	0.00170780754333768	0.00103882367417272	0.00272966836541905
Master_mconsumospesos_rank_tend6	0.0017061523984006	0.00128587571442471	0.00268941746264881
mcheques_emitidos_rechazados_rank_lag1	0.00170476893429498	0.000984536639399588	0.00266641694678009
mprestamos_hipotecarios_rank_tend6	0.00169552128333264	0.0012159451487576	0.00276827637419868
mtransferencias_recibidas_rank_tend6	0.00169387650989791	0.0012016936344005	0.002571129095324
vm_msaldopesos_rank	0.00169028692284608	0.000760210844054948	0.000910984717800099
Visa_mpagospesos_rank_tend6	0.00168757759203322	0.00155271050265321	0.00213576218780907
mpayroll2_rank_tend6	0.00168737142313223	0.00121653584934905	0.0027329541534003
mprestamos_hipotecarios_rank_lag1	0.00168534434846285	0.00158217295978132	0.00269598903861129
mforex_buy_rank_tend6	0.00168024223783251	0.00107860714623474	0.00270913219053627
mpagomiscuentas_rank	0.00167591421104497	0.00398311007475642	0.00232387354973533
mrentabilidad_rank	0.00167582520118811	0.00143063560075148	0.00203883144236235
ctrx_quarter_delta1	0.00167477220057558	0.00164595384464146	0.00182114798860489
mcaja_ahorro_adicional_rank_tend6	0.00166864972552623	0.000940603397922631	0.00263438051396296
mtarjeta_visa_descuentos_rank_tend6	0.00166840230897934	0.000885385888955589	0.00268038154570038
Master_mfinanciacion_limite_rank_tend6	0.00166519154157503	0.00111799575404334	0.00269927482659254
Master_msaldopesos_rank_tend6	0.0016595747329567	0.00113361766271941	0.00242655442414923
mcheques_depositados_rank_tend6	0.00165641584776318	0.00145797922428904	0.00284713528574855
Visa_mfinanciacion_limite_rank_tend6	0.00165604035729855	0.00184170697162857	0.00252266372260064
vm_msaldodolares_rank_tend6	0.0016495836318799	0.0011093748434986	0.0026228802560286
mautoservicio_rank_tend6	0.00164949891400388	0.00171657376226924	0.00276088335124088
mcheques_depositados_rechazados_rank_tend6	0.00164693778532535	0.00101386387140691	0.00262041591504267
mcheques_depositados_rechazados_rank	0.0016421955172622	0.00110537867233909	0.00261877302105204
mcomisiones_rank_tend6	0.00164212844460894	0.00243579121015351	0.00207661800414666
Master_msaldodolares_rank_tend6	0.00163586012335466	0.00190558969943531	0.00253909266250686
mcuenta_corriente_adicional_rank_tend6	0.00163025201097387	0.00087005280365574	0.00262616604400984
mcaja_ahorro_adicional_rank_lag1	0.00162737185709917	0.00153037935202287	0.00267956009870507
Visa_Fvencimiento_lag1	0.00162715932671719	0.00119495006142471	0.00218997768949961
mpagodeservicios_rank_tend6	0.00162430293271985	0.00175995842622555	0.00290463657542033
Master_mpagospesos_rank_tend6	0.00161807190320217	0.000786982312653398	0.00250952057067566
mpayroll_sobre_edad_rank_tend6	0.00161570786238361	0.00159604553901894	0.0025637360723662
minversion1_dolares_rank_tend6	0.00161513773566476	0.000978101786840968	0.00268695312166287
