Feature	Gain	Cover	Frequency
rf_019_015	0.055751907046869	0.000821236783508184	0.000141288883193523
ctrx_quarter_normalizado	0.0424617843637607	0.00491099312231689	0.000947949832589102
ctrx_quarter	0.0200694849019591	0.00268795085351154	0.00108184569282482
rf_001_025	0.0173200801800322	0.00244868694390513	0.000130610072254478
rf_016_017	0.0152615111580799	0.00193852055942622	0.000122395602301366
rf_011_015	0.0117928008911676	0.000262880180532617	0.000110073897371698
rf_013_015	0.010526563380675	0.000762055435650621	0.000151146247137257
mprestamos_personales_rank	0.00955363619342329	0.0133240740279518	0.00339832621960235
rf_009_018	0.00911330948797543	0.00614712377236949	0.000157717823099747
cpayroll_trx	0.00882357030320458	0.00265669461618341	0.000247255545588665
rf_018_021	0.00757147335685264	0.00276664822754476	0.000142110330188834
mcuentas_saldo_rank	0.00710802684185425	0.00888746501084141	0.002608094210113
mpayroll_sobre_edad_rank	0.00688375318711564	0.00484608459925068	0.00219162058349023
rf_008_021	0.00592088221891927	0.00129073079894989	0.000143753224179457
mpasivos_margen_rank	0.00511529086064795	0.0026331390294898	0.00170778830325194
foto_mes	0.00493639985555508	0.0103645313232309	0.00170943119724257
ccomisiones_mantenimiento_tend6	0.00475260671865643	0.00418113838713638	0.00120834853010275
mpayroll_rank	0.00463704181719625	0.00449165851144732	0.00211686890691691
mcaja_ahorro_rank	0.00405154289578005	0.00328082440617704	0.00177514695686746
rf_015_015	0.00387221932767561	0.00266351626664793	0.000174968210001281
rf_007_017	0.00386807602014667	0.00496155232889207	0.000245612651598043
mcuenta_corriente_rank	0.00338903748146588	0.0034517226626519	0.00282742055786108
cliente_edad_lag1	0.0033888945485413	0.00663277012842769	0.00359629494547235
ctrx_quarter_normalizado_lag1	0.00326433740837844	0.000815904660350795	0.000735195060803507
mcuenta_corriente_rank_tend6	0.00319098807210686	0.00579672440582044	0.00308371202039817
mtarjeta_visa_consumo_rank	0.00313269890047255	0.00154833433000454	0.00117138341531374
mcuentas_saldo_rank_delta1	0.00310805509692862	0.00885919277959245	0.00295967352410618
mprestamos_personales_rank_lag1	0.00310017733411216	0.00215294478325004	0.00256702186034744
mrentabilidad_annual_rank_lag1	0.00308482602136503	0.00301830525076828	0.00256702186034744
ctrx_quarter_lag1	0.00306959591974515	0.000847636180734097	0.000924949316720389
mprestamos_personales_rank_tend6	0.00288403970902318	0.00231044354086697	0.00307960478542162
cliente_edad	0.00284738783728544	0.00435233876933286	0.00345582750927414
mactivos_margen_rank	0.00283007959247754	0.00646092234219561	0.00219490637147147
mcuenta_corriente_rank_lag1	0.00273411560379805	0.00281390800245413	0.00268038154570038
mrentabilidad_annual_rank	0.00264500817251388	0.00285098664432745	0.00245284072799919
numero_de_cliente	0.00262215279589905	0.00358788057776461	0.00343282699340542
mcuentas_saldo_rank_tend6	0.0025290450858207	0.00271121289318433	0.00286109988466884
mrentabilidad_annual_rank_delta1	0.00252807538296641	0.00561884029448695	0.00283645647480951
rf_002_015	0.00249895329931004	0.00332326790269374	0.000335150374086962
ctrx_quarter_tend6	0.00247457710607867	0.00192600115466659	0.00211111877794973
mcuenta_debitos_automaticos_rank	0.00246424564549216	0.00346999538174883	0.00260562986912706
cprestamos_personales	0.00236095013748521	0.00618437283675563	0.000597191965591228
rf_015_021	0.00235191070411427	0.00072192444596748	0.000159360717090369
internet_tend6	0.00233697591855089	0.0047860768173563	0.00211358311893567
mtransferencias_recibidas_rank	0.00230963924874247	0.00275032886135067	0.00238137483940711
cdescubierto_preacordado_delta1	0.00225731677849911	0.0134563554642248	0.000441938483477415
mactivos_margen_rank_tend6	0.00225118385269305	0.00269651294388822	0.00282988489884702
Master_fechaalta_lag1	0.00224891625535335	0.00259909923404817	0.00243312600011172
mplazo_fijo_dolares_rank	0.00223795891716881	0.00437512077599869	0.00287835027157038
mcaja_ahorro_rank_tend6	0.00220223384832217	0.00207403276897094	0.00273131125940968
cdescubierto_preacordado_tend6	0.00218959472645645	0.00789093171701109	0.00051504726606011
mttarjeta_visa_debitos_automaticos_rank_tend6	0.0021771467498397	0.0016202768695618	0.00270091772058316
chomebanking_transacciones_tend6	0.00214843225262953	0.00387287679293407	0.002410125484243
Master_Fvencimiento	0.00212811491004848	0.00203378377897023	0.00266148826480823
Master_fechaalta	0.00208625423865917	0.00256344900343558	0.00242573297715392
cproductos_delta1	0.00207819962673255	0.0104898690496721	0.000700694287000437
